iso,year,quarter,date,qGDP_growth,qGDP_growth_res,date_fe,dNL_res,dhits_res
"BRA",2021,1,2021q1,.9520454,-.1404122,1.092458,-18.40596,-4.390952
"BRA",2021,2,2021q2,11.71379,-.0282654,11.74205,-10.73459,-11.06329
"BRN",2014,1,2014q1,-6.141881,-9.834699,3.692818,17.62004,-2.187781
"BRN",2014,2,2014q2,-3.022437,-6.690038,3.667601,71.41589,9.100319
"BRN",2014,3,2014q3,-.3958496,-4.250786,3.854937,64.67733,.2834316
"BRN",2014,4,2014q4,-.3570936,-4.183953,3.826859,59.00368,-7.950462
"BRN",2015,1,2015q1,-5.319625,-8.688036,3.368411,-3.546262,-2.656189
"BRN",2015,2,2015q2,1.299577,-1.688019,2.987597,31.63037,15.46972
"BRN",2015,3,2015q3,2.336945,-.9877459,3.32469,25.28294,-6.40077
"BRN",2015,4,2015q4,.1134673,-2.558238,2.671705,-16.64569,7.590225
"BRN",2016,1,2016q1,3.393541,.0216379,3.371903,24.24221,5.265521
"BRN",2016,2,2016q2,-6.150078,-9.573892,3.423814,-40.98837,-26.82021
"BRN",2016,3,2016q3,-3.636051,-6.843045,3.206994,-52.67747,-8.252443
"BRN",2016,4,2016q4,-3.674176,-7.637778,3.963602,-20.69855,-15.90349
"BRN",2017,1,2017q1,-1.31291,-5.100585,3.787675,-53.89086,-15.92833
"BRN",2017,2,2017q2,.1956398,-3.447537,3.643177,-50.83331,-8.678142
"BRN",2017,3,2017q3,1.325399,-2.728819,4.054218,-70.77037,12.18745
"BRN",2017,4,2017q4,5.049053,1.178777,3.870277,-52.31314,7.308959
"BRN",2018,1,2018q1,2.75831,-1.212061,3.970371,-39.28466,3.197951
"BRN",2018,2,2018q2,-2.603638,-6.354009,3.750371,8.360003,-4.553864
"BRN",2018,3,2018q3,-1.108075,-4.654899,3.546824,53.54132,-18.00604
"BRN",2018,4,2018q4,.9452263,-2.106822,3.052048,-5.60654,-10.4606
"BRN",2019,1,2019q1,-.2211761,-3.096404,2.875228,48.20147,26.22439
"BRN",2019,2,2019q2,6.390567,3.060656,3.329911,-19.76685,55.42598
"BRN",2019,3,2019q3,2.108618,-1.206947,3.315564,14.38417,6.829647
"BRN",2019,4,2019q4,6.857048,3.989721,2.867327,37.2363,18.86827
"BRN",2020,1,2020q1,2.233367,1.354215,.8791518,-12.18393,-33.55968
"BRN",2020,2,2020q2,3.450414,14.20469,-10.75428,-3.270955,-47.41428
"BRN",2020,3,2020q3,.4393328,4.429235,-3.989902,-30.92419,10.1201
"BRN",2020,4,2020q4,-1.437233,.4257283,-1.862961,-72.88358,-11.5351
"BRN",2021,1,2021q1,-.790878,-1.883336,1.092458,-38.13595,1.371801
"BRN",2021,2,2021q2,-2.152392,-13.89444,11.74205,-32.70189,-6.851978
"BWA",2014,1,2014q1,3.392019,-.3007992,3.692818,-3.587203,.6812718
"BWA",2014,2,2014q2,4.509028,.8414269,3.667601,-62.03418,-15.06518
"BWA",2014,3,2014q3,5.699993,1.845057,3.854937,-24.75512,4.104187
"BWA",2014,4,2014q4,-.4985222,-4.325381,3.826859,-56.12448,6.756478
"BWA",2015,1,2015q1,-1.989577,-5.357988,3.368411,37.04475,-4.361465
"BWA",2015,2,2015q2,-4.223369,-7.210966,2.987597,-19.93382,5.332259
"BWA",2015,3,2015q3,-11.39483,-14.71952,3.324691,-32.04536,-5.736022
"BWA",2015,4,2015q4,-5.999995,-8.6717,2.671705,-25.11357,-8.758153
